dialect	standard
그러면 이제 저 본껵쩌그로 이제 여쭤볼께 인는데 혹씨 어르신 그 지금 요기 호촌 마을이자나 아니 호촌 마으린데 이 마으리 언제 형성된는지 알 쑤 인나요여	예 그러면 이제 저 본격적으로 이제 여쭤볼 게 있는데 혹시 어르신 그 지금 여기 호촌 마을이잖아 아니 호촌 마을인데이 마을이 언제 형성 됐는지 알 수 있나요
이 마으리 형성되기는 그 오래돼찌요	이 마을이 형성되기는 그 오래 됐지요
인제 오래 그 조선시대 전 초기때부텀 대따봄미다	인제 오래 그 조선시대 전 초기 때부터 됐다고 봅니다
돼따 보는데 그 호초니라고 지명 핸거는 거는 인제 유래를 제가 드꼬 이썬는데 여개가 이거우리 마을 이르미 범 호짜 요 미테 아래똥네가 풍촌 풍년 풍짜 마디 촌짜	됐다 보는데 그 호촌이라고 지명 한 거는 그건 인제 유래를 제가 듣고 있었는데 여기가 이거 우리 마을 이름이범호 자 요 밑에 아랫동네가 풍촌 풍년 풍 자 마디 촌 자
풍녁	풍녁
풍녕 풍 풍녁 풍	풍년 풍 풍년 풍
풍녁 풍 바람 풍 짜네요	아 풍녁 풍 바람 풍 자네요
아니 풍년풍이라 여 바람풍 이찌	아니 풍년 풍이라 여기 바람 풍 있지
풍녀이라고 왜	풍년이라고 해 왜
풍년 풍 짜 네네	풍년 풍 자 네네
마지 촌 짜 해가지고 풍초니고 여게는	마디 촌 자 해가지고 풍촌이고 여기는
마디 촌 짜네요 여기는뇨	아 마디 촌 자네요 여기는요
여개는 호며이라고 호명 이 지명이 그 동네 지명 호며인데 범 호 짜하고 마디 촌 짜하고부처가지고 아래똥네가 호초니래요	여기는 호명이라고 호명 지명이 그 동네 지명이 호명인데범 호 자하고 마디 촌 자 하고 부쳐 가지고 아랫동네가 호촌이에요
범 호 짜하고	아 범 호 자하고
마지 촌 짜하고	마디 촌 자하고
마디 촌 짜해서호초니구나 다 합친 거네여	마디 촌 자해서호촌이구나 다 합친 거네요
야 합체	네 합쳐 예
그래 합체 합치니까 인제 익 화암며니 장녀네 그 이 개명 곤처써요	그래 합쳐 합치니까 인제 이 화암면이 작년에 그 개명 고쳤어요
그전 동며니래요 동면 동면 호초닌데 그래 곤 곤처가지고 인제 여개 옌나레 그 인제 호촌니로 그리 쭝니러완는데 왜서 호명이냐 하머는 그저네 여개 동네 이 집 이러게 생긴 이 모양이연하부수형국 연꼬치 물에 떠 인는 형구기다 옌날 도성이 짜글 쩌게 위에다 큰 기와찌비 정선군 부자터이 시방도 이써요	그전에는 동면이에요 동면 동면 호촌린데 그래 고쳐 가지고 인제여기 옛날에 그 인제 호촌리로 그렇게 쭉 내려왔는데 왜서 명이냐 하면 그전에 여기 동네 이 집이렇게 생긴 이 모양이 연화부수형국 연꽃이 물에 떠 있는 형국이다 옛날 도성이 작을 적에 위에다 큰 기왓집이 정선군 부자터가 지금도 있어요
그 인제 연꼬치 무레 떠 인는 걷 떠이따는 거슨 연모시 이써요 여 연몯 물 그초	그 인제연꽃이 물에 떠 있는 것 떠있다는 것은 연못이 있어요 연못 물 그렇지요
그래 연꼬때궁에 구녀이 이써야 됨미다	그래 연꽃 대궁에 구멍이 있어야 됩니다
그래 요  싹다올로오미 연꼳 모양을 대가지고 인는데 연하어 부수형구기라고 형국짜르거든뇨 또 지명이	그래 요  싹 다 올라오면서 연꽃 모양을 대 가지고 있는데 연화부수형국이라고 형국 자르거든요 또 지명이
그르니깐두루 버마초니 아주 옌나레는 또 호며이라 지끼 저네는 그래 조선	그러니까 범화촌이 아주 옛날에는 또 호명이라 짓기 전에는 그래 조선
명 짜는 무슨 명 짠가요	명 자는 무슨 명 잔가요
울 명 짜래요	울 명 자래요
울 명	울 명
또 호래이 운다아이요 그래 버마촌 아주 아주 옌나레 버마초늘 뜰 뻠짜 꼬 톼짜 여 연꼬치 무레 떠이쓰이깐두루 버마초니라고 이러케 제때요	또 호랑이 운다 아니요 그래 범화촌아주 아주 옛날에 범화촌을 뜰 범 자 꽃 화 자 여 연꽃이 물에 떠 있으니까 범화촌이라고 이렇게 지었대요
범화촌	아 범화촌
그래다보니까 그중에도 그 시대에 어떤 그사람 쪼끔 이리 쫌 성겨리 괄괄한 왈왈한 개구재이라서 개구재이	그러다보니까 그 중에도 그 시대에 어떤 그 사람 조금 이리 좀 성격이 괄괄한개구쟁이라서 개구쟁이
괄괄한	예 괄괄한 예
그래 그런분들 이따가 버마 범도 아마 호랑이를 버미라해 그까짇 버마촌 하피리머이인느냐이기야 아주 호랭이가 운다고 호명이라 하자	그래 그런 분들 있다가 범화 범도 아마 호랑이를 범이라고 해 그까짓 인제 범화촌 하필 뭐가 있느냐 이거야 아주 호랑이가 운다고 호명이라하자
그래서 홍 호며이 호명돼땀미다 여가	그래서 홍 호명이 호명되었답니다 여기가
그래요	아 그래요
그럼 여기에 주로 어떤 성 씨 분드리 사세요 며 토 되나요	아 그럼 여기에 주로 어떤 성씨 분들이 사세요 몇 호 되나요
여게가 전씨드리 젤 만치요	여기기가 전 씨들이 제일 많지요
전씨 전씨 정선 전씨	전 씨 전씨 정선 전 씨
정선 전씨	정선 전 씨
이 이놈 전 사라민째 임그뫙짜 이놈 전 정선 전 씨	이 이놈 전 사람 인 자 임금 왕 자 이놈 전 정선 전 씨
여기 한 며토 정도 돼요	아 여기 한 몇 호 정도 돼요
요 아루똥네가 저 지금 한 이시포 돼요	요 아래윗동네가 저 지금 한 이십 호 돼요
그래요	아 그래요
그럼 여기에는 이제 머 사니나 강 골짜기 머 이런 유래 가튼 거뜰 이씀니까 여기 산도 이꼬	그럼 여기에는 이제 뭐 산이나 강 골짜기 머 이런 유래 같은 것들 있습니까 여기 산도 있고
여개 흠 이 고을 이름 젠거는 아주 옌날 거 아주 머 참 고러때 핸나 어뜨 운제 이 땅 생기구 저	여기 이 고을 이름 지은 거는 아주 옛날 거 아주 뭐 참 고려 때 했나 언제 이 땅 생기고 저
지구가 생게씨니 멀더 머 동목째니 어우시리니 그차내요	지구가 생겼으니 뭐 동목재니 어우  실이니 그렇잖아요
다시 한 번 동	다시 한 번 동
동목째 또어우실 어우실 고 다으메 이망이 이마이	동목재 또어우실 어우실 그다음에 이망이 이망이
이망이요	이망이요
응 이	응 이
이망이가 뭔가요	이망이가 뭔가요
이마이랑 거 고을 이르미 이마이라 또	이망이란 그 고을 이름이 이망이라한다
이망 이망 이 이망이	아 이망 이망 이 이망이
또 가둔지 가둔제 가둔지 가둔지 가둔 요 가둔지라 이따 요게	또 가둔지 가둔제가둔지가둔지 가둔 요 가둔지라고 있다 요기에
저수지 가튼 게 가슨	아 저수지 같은 게 가둔
게 그냥 그 그 가둔지라고 인제 가둔 가둘 까 골까자 가둔지 요 감재 감재 이 동네 고을이르미 그루 돼 이씀미다	그게 그냥 그 가둔지라고 인제 가둔 가둘 가 골 가 자 가둔지 여기감재 감재 이 동네 고을 이름이 그렇게 돼 있습니다
그곧 유래를 좀 알 수 이쓸까요	그곳 유래를 좀 알 수 있을까요
유래 가둔제 유래는 그게 가둔지라 하는데 그게	유래 가둔제 유래는 그게 가둔지라 하는데그게
가둔젠	가둔젠
가둔지 지 지 지지	가둔지 지 지 지지
그기 뭐 가둔지린데 거 가둔지는 유래는 읍꼬 거게 지금 그 사니 복판 하나 이써가지고 그제 모 묘짜리가 조금 된 거 귿 여나부수형국 인저 이따	그게 뭐 가둔지린데 거 가둔지는 유래는 없고 거기에 지금 그 산이 복판 하나 있어가지고 그 제 묘자리가 조금 된 거 그 연화부수형국 인제 있다
여노파다 그런 그런 지며이 이찌	그런 그런 지명이 있지
연호파요	연호파요
이 이너 이너 고기 여너 여너라지 머 이너라 하든지 인는데	이 잉어 잉어 고기 연어 연어라지 머 잉어라 하던지 있는데
저거 저거에는 후리뜽 고기 고기 잠는다고 후리치자나 후리	저거 저거에는 후리등 고기 고기 잠는다고 후리치잖아 후리
후리치고 이짜게 그물메기 고기 잠는 그물처써 그물 그물메기	후리치고 이쪽에 그물메기 고기 잡는 그물쳤어 그물 그물메기
고다메 고기 또 자불라고 아페가 물 안 헤벼고 설토 물 이따 설통	그 다음에 고기 또 잡을라고 앞에 가 물 안  설통 물 있다 설통
설통뇨	설통이요
무레 다머 놔따고	물에 담어 놨다고
설통은 뭐에요	설통은 뭐에요
그기 고기가 무러서 무러 가지고 내려 가지고서는 그 드러가는 걸	그게 고기가 물어서 물어가지고 내려 가지고서는 거기 들어가는 걸
설통예 그 설통을네	아 설통예 그 설통을네
그래서 인제 그 그 고기가 인는 사니 그이가 여너 여너 거가 논다	그래서 인제 그 고기가있는 산이 거기가 연어 연어 거기가 논다
여너 형구짜리다 이런데 거게 물만 이씨며는 무리 고긴 무리써야 되쟈뇨	연어 형국자리다이런데 거기에 물만 있으며는 물이 고기는 물 있어야 되잖아요
물만 이씨먼 아주 큰 대지파이 나는데 여 무리 요기 사키로 올러가무는 삼척 대전 삼척무라 정선무리 하패 내려오다가 보먼 새요	물만 있으면 아주 큰 대지팡이 나는데 여기 물이 요기 키로 올라 가며는 삼척 대전 삼척 물이랑 정선 물이 합해 내려오다가 보면 새요
이 드딴 미트로 여 서킬 고읻 이 호면 퉁충가제는 미테 석 고형이 서켜거 데이꺼든	이 덕단 밑으로 여 석회를 이 호면 는 밑에 석 고형이 석회로 돼 있거든
빠지니까 거 가둔지란데두 우거 배짱과이요	빠지니까 거기 가둔지라는 데도 위로는 배짱광이요
병마리 장거러도 정가리라고 여도 무리 업써요	여기도 물이 없어요
여게 올라가는 요게	여기 올라가는 요기에
그래서 배짱광이라고요	아 그래서 백짱광이라고요
거게물만 쏵 언내려가머는 그 여노파란 고기가 노는 형구기다	거기에 물만 쏵 내려가며는 그 연호파란 고기가 노는 형국이다
그 참 조은 자리래요	그 참 좋은 자리래요
그래가주 그게 그 아페 고기 아페 이 논 다 고 아펠 지리메다 묘 쓰고 또 고기 꼬리 요 꼬라니 인는 데 여다 쓰고 등 지리미다 쓰고 그런 그 언젠 그 지가 사대로 얘기 드꼬 건 그른게이쪼	그래가지고 그게 그 앞에 고기 앞에 이 논 다 고 앞에 지느러미에다 묘 쓰고 또 고기꼬리 요 꼬랑지 있는 데 여기다 쓰고 등 지느러미에다 쓰고 그런 그 지가 대로 얘기 듣고 그건 그런 것이 있지요
그리고 여 어우시리라는 데는 어우실 이 고기 어짜라고 고기 어짜 새 우 짜여	그리고 여기어우실이라는 데는 어우실 이 고기자라고 고기자 새 우 자여
어우실 라는 데가 그 그 한문 끄래 쓰는데 그게 으음 장말기 대말기라 대말기꼭 산꼬때기를대말기라 한다고 우리 강원도 말로 대말기	어우실 이라는 데가 그 그 한문 그렇게 쓰는데 그게장말기 대말기라 대말기 꼭 산 꼭대기를 대말기라 한다고 우리 강원도 말로 대말기
네네	네 네
대말기	대말기
산 꼭띠기	산 꼭대기
대말기 대말기	대말기 대말기
그게 올라가며는 그 인제 일본 시대 때 그 피때 피때를 세워꺼드뇨	거기에 올라가면 그 인제일본 시대 때 그 핏대 팻대를 세웠거든요
고 이쓰먼 하튼 요 구끼 세워가지고 멀리 보면 구끼 인제 모 하는교 그 피때라는 그걸 세우머는 인저 그 어우실 저 짜게는 삼척 하장 저 쪼그론 인는게 이 쪼게는 동면 호초니 저 쪼게는백쩐 저 쪼게 여뚠 그런데 그거는 올라가머는 옌날레 조수가 너머떤 마리 바다가 바단무리 너머따고 바다 조개이찌 조개	그거 있으면 하튼 요 국기 세워 가지고 멀리 보면 국기 인제 모 하는거요 그걸 세우며는 인제 그 어우실 저 쪽에는 삼척 하장 저 쪽으로 있는 것이 이 쪽에는 동면 호촌리 저 쪽에는 백전 저 쪽에는  그런데 그거는 올라가며는 옛날에 조수가 넘었던 말이바다가 바닷물이 넘었다고 바다 조개 있지 조개
그 조개가 이써요 조개가 거게가먼	그 조개가 있어요 조개가 거기에 가면
그래요	그래요
조개 그 껍때기가 인	조개 그 껍대기가 인
껍때 껍때기가	껍대 껍대기가
우리 그 내가 거가 인저 한 한 오십 쎄 되는데 저건 한 삼심년 다 되가누구만	우리 그 내가거기가 인제 한 오십 세 되는데 저건 한 삼 십년 다 돼가는구만
시방 그 안 가조	지금은 거기에 안 가죠
