dialect	standard
어르신 이 마 이 마으레 대해서 쫌 이야기를 해 주십씨요	어르신 이 마을이 마을에 대해서 좀 이야기를 해 주십시오
이 마으리 언제 형성이 데어꼬 어떠케 형성이 데에꼬 그 다음메주로어떤 성씨드리 사시는지 이 마을 유래에 대해서 함 번	이 마을이 언제 형성이 되었고 어떻게 형성이 되었고 그 다음에주로 어떤 성씨들이 사시는지 이 마을유래에 대해서 한 번
삼뱅 년 저니이께네아 지금부터 그몀 면 녀이롱 이천시빌 려네 삼뱅 녀느얼빼먼 데잔냐	삼백 년 전이니까 지금부터 그러면 몇 년이냐 이천십일 년에서 삼백년을 빼면 되잖아
한 은 삼뱅 년 삼뱅 년 전도 이퍙은 한 삼뱅 년 정거 데께려 동네게 생에에헤 여어께 에헥 그르코 여 동네 사는 사람드런 추 주로 인제 으성 깅가드리 여게 인제 우 와 가주고 이 이퍙한 제가 삼뱅 녀이라 그능 게고요	한 어삼백 년 삼백 년 정도 입향은 한 삼백 년 정도 될거야 동네가 생긴여기가어 그렇고 여기 동네 사는 사람들은 주 주로 인제 의성 김가들이 여기에 이제 와와 가지고 입향 입향한 지가 삼백 년이라 그러는 것이고요
그아문 지굼 한 삼배 이퍙한 지가 한 삼뱅 년 데션는데 그암며너 처음 이마으레 인제 의성 김씨 하라버지께서 이리로 오셔쓸 꺼 아님미까	그러면 지금한 삼백 입향한 지가 한 삼백 년 되셨는데 그러면은 처음 이 마을에 인제 의성 김씨 할아버지께서 이리로 오셨을 것 아닙니까
이퍙하실 때 어어 어디서 오션는지 혹씨 아심미까	입향하실 때어디에서 오셨는지 혹시 아십니까
크게 상주서 와쩨	그게 상주에서 왔지
상주 상주서 그어 상주서 그르익 개암 할배미 여어 처뻔 두오시찌 안나	상주 상주에서 거기 상주에서 그러니 개암 할아버지께서 여기에 첫 번째로 들어오셨지 않나
후래 그엄믄 저으아 저게 저 어르이 파론 할배밈 미리 오시꾸나	후야그러면 저 저기 저 어른이 팔오헌이며 년에 개암선생의 현세손으로 태어나서 년에 운명했다 자는 덕휴이며 호가 팔오헌이며 벼슬은 부제학에 이르렀다 자연부락 이름이 바래미인 이 마을을 개척한 인물이  다 할아버지께서 미리 오셨구나
그으또 아이고 그믄 누구로	어 그것도 아니고 그러면 누구냐
그업 그 어느 하럴버이 어느 할배라고예	그 그 어느 할아버지 어느 할아버지라고요
개암	개암
개아암 호를 호를 익	아 개암호를 호를 이제
개암 할뱀	개암 할아버지
개 짜 암 짜 이르케	개 자 암 자 이렇게
예 예아	예예
암개 짜르 므승 개 짜를 써씀미거	암개 자는 무슨 개 자를 썼습니까
거릉 개 짜	시내 계 자
아 에 그렁 거 그렁 게 짜 바이 암 짜	아예 시내 시 시내 계자 바위 암 자
바우 암 짜	바위 암 자
개암	개암
개암 스생님께서 인제 이리로 처음 이퍙하션는지 앙 그아믄 더 위때 오션는지느 정화카진 안치마넌	개암 선생님께서 인제 이리로 처음 입향하셨는지 안 그러면 더 윗대에서 오셨는지는 정확하지는 않지만은
어역 정왁 찬체이으그	예 정확하지 않지요
고 고 다으메능 꼬어 파로언 할뱀 안 아임 두 분 중에 드옹 그넌 아매 미리옹 거는 개암 할배미 미리 옹 거 거튼데 그걸러	그 그 다음에는 그팔오헌할아버지 아니면 아니면 두 분 중에 들어온 것은 아마 미리 온 것은 계암 할아버지께서 미리 오신 것 같은데 그것을
그래서 이퍙하러 이퍙하신 어르신께스너 어째뜬 개암 하라버지시나 어이거나 앙 그러며넘 파론 하라버지 두우 뿐 중에 함 부니시다 그제	그래서 입향하러 입향하신 어르신께서는 어쨌든 개암 할아버지이시거나 아니거나 안 그러면은 팔오헌 할아버지 두 분 중에 한 분이시다 그렇지요
예에	예
파 어더익 그업 개암 하라브지에 대해서 함분 마 어이 아시는 데로 함번 이야기해 주실 쑤 이씀미까	팔 어떻게 그 개암 할아버지에 대해서 한 번 말아시는 대로 한 번 이야기해 주실 수 있습니까
인지 개암 선생이음선조가 여게	예 인제 개암 선생님께서선조가 여기에
열 개 짜에다가바이 암 짜임	열 개 자에다가바위 암 자입니까
아이 아이래여 이 양바안 겨 마자이 열 개 짜래 열 개 짜이와 바우 암 짜래	아니 아니에요 이 양반 그래 맞아요 열 개 자야 열 개 자에 바위 암자야
열 개 짜 바으 만 짜고	열 개 자 바위 암 자고
그레 이 양바니 여게 인데	그래 이 양반이 여게 인제
개암 그아므 개암 쓰앵님께서 인제 일로 오 이퍙을 하실꺼나 앙 그암파론 쓰앵님 하싱 검미까	예 개암 그러면 개암 선생님께서 인제 이리로 오셔서입향을 하셨거나 안 그러면 팔오헌 선생님께서 하신 겁니까
이퍙 에 응 선조넘 파롼 선조고요 에 개암공은 그르 인제 에 이 끼 개암공어 현소니에 이 양바니	입향 선조는 에팔오헌 선조고요 에 개암공은 그래인제 이 그 개암공의 현손이야 이 양반이
파루오니	팔오헌이
기 에 개암 할배므유 현소니 파로언 선새인데 거어서 여어겐 인젱 이퍙 선조로 데 인네 여가	개개암 할아버지의 현손이 팔오헌 선생인데 거기에서 여기가 인제입향 선조로 되어 있네 여기가
이퍙 선조로 데 이꼬	입향 선조로 되어 있고
파로언 스애임께서 인제 스애잉께서 이리로 입 이퍙을 하셔 가주고 지웅 그암며너 여기에입	팔오헌 선생님께서 인제 선생님께서 이리로 입향 입향을 하셔 가지고 지금 그러면은 여기에입향
예예 예	예예예 예
그르이 파로오느니 인제 으이 개아므 현소니고 휘 짜는 선 짜 구 짜라 구누여 이그 그 파로옴뿐 아이래 에 에뜨 그 저 휘는 소리 성 짜 고리 구 짜라꼬데에스 성구라꼬 데 이써에 곤	그러니 팔오헌이 인제개암의 현손이고 휘 자는 성 자 구 자라고 그러고 이것 그 팔오헌 뿐만 아니라어 그 저 휘는소리 성 자 오랠 구자라고 되어서 성구라고 되어 있어여 고것은
소리 성 짜	소리 성 자
바로옹파로	팔오헌팔오헌
소리 성 짜 무승 구 짜예	소리 성 자 무슨 구 자인가요
옹 오리 구 짜용	옛 오랠 구 자요
오래 구 짜	아 오랠 구 자
으야 야 오 오리 오리 구 짜요	예오랠 오랠 오랠 구 자요
파로어는 호고 이 여느 인제흐 휘 짜는 성 짜 구 짜시고 그 호가파러오이구 그래요	팔오헌은 호고 이 여기는 인제휘 휘 자는 성 자 구 자이시고 그 호가 팔오헌이고 그래요
지금 그럼며너 인제 파러온 스애잉께서 은자 이 마을 이 마을 이르미 바래밈미까 해즈	지금 그러면은 인제 팔오헌 선생님께서 인제 이 마을 이 마을 이름이 바래미입니까 해저리
바라미 에 이 그 바라미	바라미 에 이 그 바라미
바 에 짐며	바라미 에 지명
옌날 치명으로는 속칭 브르기는 바라미라 그고 또 여우 관명으로는 관청에서 부릉 언 해저리라 그고	옛날 지명으로는 속칭 부르기는 바라미라 그러고 또여기 관명으로는 관청에서 부르는 것은 해저리라 그러고
해저리예	해저리요
바다 해 짜 저 저어 짜	바다 해 자 밑 저 자
그르이 그래 부르니더	그러니 그래 부릅니다
거며 인제 업 파로언 스애잉께서 은제 여기 이퍄을 하셔 가지고한 삼뱅 년쯔은 야 삼뱅 년 저네 이퍙을 하셔 가주곧 의성 인저 김씨 김문들리 인제집썽촌임미까	그러면 인제 팔오헌 선생님께서 인제 여기 입향을 하셔 가지고 어한 삼백 년쯤 약 삼백 년 전에 입향을 하셔 가지고 의성 인제 김씨 김씨문들이 인제 집성촌입니까
그러치 이퍙하셔찌	그렇지 입향하셨지
메이 집성초니지 그케요	예 집성촌이지 그러게요
지궁 그럼며너 여기에 그거 사시늠 분드너 의성 김씨들 웨에는 다름 분드러업씀미까	지금 그러면은 여기에 그것 사시는 분들은 의성 김씨들 외에는 다른 분들은 없습니까
웨요 이찌용	왜요 있지요
마네여 인지 저거 이 지 옌나레는	많아요 인제 저것 이 저 옛날에는
지 지금믕 그 당시는 쪼꿈 저끼 사럳찓 지그므롭 바서는 우성 깅가들보다타성에어 어응 으 더 만타끄 바에 시방은뇨	지금 지금은 그 당시는 조금 적게살았지 지금으로 봐서는 의성 김가들보다 타성이으 더 많다고 봐요 시방은요
우리 깅가드른 모도 대구 부산 서울 마이 나가 사고 근데 현제 여읻 쩌이집뜨러 거 크 큰 집뜨른 깅가드리 즈 이에이 지비라 할 쩨라등 나미 사는 지비더 마네 시방용	우리 김가들은 모두 대구 부산 서울 많이 나가서 살고 그런데현재 여기 저 집들은 그 큰 큰 집들은 김가들이 저 이 집이라 할 지라도 남이 사는집이 더 많아요 시방은요
실쩨이 그래 데 이꼬요 거우 머 우우 구 지비 비 이씨께 남 주고 사고	실제로는 그래 돼 있고요 그 뭐그 집이 비어 있으니까 남에게 주고 살고
