dialect	standard
예 옌나레 한 인 게 이시벼 년 저넨 에는 요 글려넨 인제 어르미 그르다지 웁서서	예 옛날에 한 이게 이십여년 전에는 요 근년에는 이제 얼음이 그다지 없었어
이제 한 이시벼 년 전 그 때에는 지금 지그믄 요기 인제 창후리서 인제 일러리 이 뽀도가 인제수시로 댕이지머는	이제 한 이십여년 전 그 때에는 지금 지금은 여기 이제 창후리에서 이제 이리로 이 보트가이제 수시로 다니지만
그 저 그 이저네는 이 남산포래는 데서 인처느루 여 여객서니 댕겨서	그저 그 이전에는 이북 남산포라는 데서 인천으로 여 여객선이 다녔어
그니께 연락서니지 인제 그거시 인제 하루에 여기서 한 번 아치메 인제 가구 저그서 한 번 오구하루에 한 번바께 배가 여기 웁서서	그러니까 연락도 이제 그것이 이제 하루에 여기서 한 번 아침에 이제 가고 저기서 한 번 오고하루에 한 번밖에 배가 여기 없었어
움는데 겨울처레는 뭐 오늘 내 향교에 드러가서 인제 오늘두 인제 부냥을 허구 하는 거 보구선인제 나와찌마는	없는데 겨울철에는 뭐 오늘 내가 이 향교에 들어가서 이제 오늘도 이제 분향을 하고 하는거 보고선 이제 나왔지만
거기 이제 어제 인제 광아 가따온 사람들 얘기 드르니껜 바다에 그냥 어르미 꽉 드려차뜨래 차서	거기 이제 어제 이제 강화 갔다온 사람들 얘기 들으니까 바다에 그냥 얼음이 꽉 들어찼더래찼어
근데 인제 무리 이 쓴 다으메는 어르미 차서 인제 배가 인제 댄 이 보도가 댕기질 모터고 물밀 때만 인제 거 무리 밀먼 어르미 갈라지 무리 이러 마니 올라오니껜 어르미 갈라지지	그런데 이제 물이 이 쓴 다음에는 얼음이 차서 이제 배가 이제 다 이 보트가 다니질 못하고물 밀 때에만 이제 그 물이 밀면 얼음이 갈라지 물이 이렇게 많이 올라오니까 얼음이 갈라지지
근께 그 이 그 시가늘 이용해서 배가 배가 다니지	그러니까 그 이 그 시간을 이용해서 배가 배가 다니지
그 간조시엔 무리 쓴 다멘 배 이 지금두 댕기지 모탄다구 허는데	그 간조 시엔 물이 쓴 다음엔 배가 지금도 다니지 못한다고 하는데
이 추위 그때는 그 귿 그 당시에 인처느루 댕길 때는 여그서 인천 저 월미도나 괘이부리 인제일러리 다닐 때는 여 무리 여서씨가늘 걸리는데 어르미 꽉 차니껜 배가 일쩔 모땡기고 겨울 내내인제 교동은 가처인는 처지라	이 추위 그때는 그 그 당시에 인천으로 다닐 때는 여기서 인천 저 월미도나 괭이부리 이제이리로 다닐 때는 무려 여섯시간을 걸렸는데 얼음이 꽉 차니까 배가 일절 못 다니고 겨울 내내이제 교동은 갇혀있는 처지라
