dialect	standard
할머이 요곡 마을출시니지예	할머니 요곳 마을 출신이지요
요 마으리 어떤마으림니까 마을이름 소개쫌 해주이소	요 마을이 어떤 마을입니까 마을 이름 소개 좀 해 주십시오
요 마으리 저접 여 펭사리지요	요 마을이 저 저 여 평사리지요
어데 펭사림니까	어디 평사립니까
하동군 아걍면 아걍멘 여 펭사리 펭사리말	하동군 악양면 악양면 여 평사리 평사리마을
펭사리 펭사리마으레는 동네가 하나바께 업슴니꺼 또 동네 자긍기 또 멕깨 더이슴니꺼	평사리 평사리 마을에는 동네가 하나밖에 없습니까 또 동네 작은 게 또몇 개 더 있습니까
여거언자 여거는 제일로 노 노푼디고 펭사리고 저 미테 미테마으레는 하펭	여기 인제 여기는 제일로 높 높은 데고 평사리고 저 밑에 밑에 마을에는 하평
우리마을미테 하펭	우리 마을 밑에 하평
또 큰지레 그 큰지레거거 믿 하펭미텐 대초니고 그러네요 동네이르미닫 다리니까	또 큰 길에 그 큰 길 길에 그 그 밑 하평 밑엔 대촌이고 그러네요 동네 이름이다 다르니까
다 이기다 펭사리예 드러감니까	다 이게 다 평사리에 들어갑니까
하모이 펭사는 펭사리지	예 아무렴 평사리는 평사리지
그래도언잗 또 여거여거 마리자먼 또이지 동매이로	그래도 인제 또 여기 여기 말하자면 동이지 동처럼
여게느 요리그만 여 펭사리고 저미테 하펭 또 저 대촌	여기는 요렇게 그냥 여기 평사리고 저 밑에 하평 또 저 대촌
대촌미테 그 큰질 뻐수댕기는 으으 큰질 너메는언자 너메 미트로는	대촌 밑에그 큰 길 버스 다니는 응 큰 길 너머는 인제 너머 밑으로는
그그는 똗 그 머이고 먼동네고 그는 소징이라허고 소징이	거기는 또 그 뭐니 무슨 동네니 거기는 소징이라 하고 소징이
소징이	소징이
소징이똥네 소징이동네 네동네고 또 욛짜그로언자 멘사무소 가는데는언자 그걷	예 소징이 동네 소징이 동네 네 동네고 또 요쪽으로 인제 면사무소 가는 데는 인제 그것
암 부황대 부황대 안뚜불 머 입썩 막  짜드러 우씁찌 동네가 마 모도 이리미 다 이싱께로	안 부황대 부황대 안두불 뭐 입석 막 웃음 많이 우습지 동네가 마 모두 이름이 다 있으니까는
그럼 할머이가 드르시거나 아시는대로	그럼 할머니가 들으시거나 아시는 대로
이동네는 운제 처음 생기슴니까 운제 생긷따고 드르셔슴니까	이 동네는 언제 처음 생겼습니까 언제 생겼다고 들으셨습니까
몰라 멘년똥고도 모리지 나느 여 오래데농께	몰라 몇 연도인지도 모르지 나는여 오래 돼 놓으니까
워 요거 머 저네부터 요 오래오래덴 동넹께로 이동네느	워 요것 뭐 전에부터요 오래 오래 된 동네니까는 이 동네는
그러 오래댇따능기 머 오뱅년 댇따든지	그러니까 오래 됐다는 게 뭐 오백 년 됐다든지
그렁께 그래야 데낀데 그랟 그걸	그러니까 그래야 될 건데 그래그걸
그렁거 드른 드런 얘기가 이스면 말슴해주이소	그런 것 들은 들은 얘기가있으면 말씀해 주십시오
그걷또 모리는데 어쩌꼬	그것도 모르는데 어찌할까
그 와 즈즏	그 왜 저 저
와 저 아레쩌녀게 그 슨생님 두분 저저저 하라부지한테 간다안핸능가요 그 정가게 정가 갇따오씯쩨	왜 저 그저께 저녁에 그 선생님 두 분 저 저 저 할아버지한테간다 했잖아요 그 정각에 정각에 갔다 오셨지
그 하라씨한테 그렁거 묻찌 여거 멘년 덴냐고	그 할아버지한테 그런 것 묻지 여기 몇 년 되었느냐고
으음 허이 그건또 그대로 하고	음 허 그건 또 그대로 하고
그런데 내는 모리는 멘년뎅거르 모리는데 우쩌꼬	그런데 나는 모르는 몇 년 된것을 모르는데 어찌할까
믿뺑년 덴능고 나아 그렁거느 머 기역 안무러바농께로 고마 고마 이리 사니까로 모르건네 나느	몇 백 년 됐는지 나는 그런 거는 뭐 기억 안 물어 봐 놓으니까는그냥 그냥 이렇게 사니까는 모르겠네 나는
멘년 내	몇 년 내
후제 무러나야 데건네	훗날 물어 놓아야 되겠네
그러므녜	그러면요
어른들한테	어른들한테
이 동네 주미드른 성씨가주로 우째 구성대 이슴니까	이 동네 주민들은 성씨가 주로 어떻게 구성돼 있습니까
강씨가 망코 강씨 강가 이 한산이씨 이씨가 망코	강씨가 많고 강씨 강가 이 한산이씨 이씨가 많고
그 사람드른 막 이 제가글 모도 막 이리 지각꼬	그 사람들은 막 이 제각을 모두막 이렇게 지어 가지고
이씨망코 강씨망코 그래요	이씨 많고 강씨 많고 그래요
그루고 머 공 고 고가도 익꼬 머 고가도 익꼬 머 여러성이지요 성은	그리고 뭐고 고 고가도 있고 뭐 고가도 있고 뭐 여러 성이지요 성은
그러 집성집성 대성이 어떵김니꺼	그러면 집성 집성 대성이 어떤 겁니까
백가도 익꼬 그기 머잉가요	백가도 있고 그게 뭣인가요
강씨 이씨가 제일 큰성임니꺼	강씨 이씨가 제일 큰 성입니까
그라므 할머이 이씨가 바로 그 이씸니까	그러면 할머니 이씨가 바로 그 이씨입니까
나는 이오이 요런 사람 이씨 아이라요	나는  요런 사람 이씨 아니라요
아하	아하
용인이씨라 용인이씨가 머잉고 용인이씨래 우리는	용인이씨야 용인이씨가 뭣인지 용인이씨래 우리는
아까	아까
근데 서울 마니 읻따네요 우리 용인이씨가	그런데 서울많이 있다네요 우리 용인이씨가
용이니 서울 미테거든녜	용인이 서울 밑에거든요
서울미테	아 서울 밑에
그라머 아까 머슨 이씨가 만타 그래슴니까	그러면 아까 무슨 이씨가 많다 그랬습니까
한산이씨라대	한산이씨라대
요사람드른 여여 미테 제각	요 사람들은 여기에 여기에 밑에 제각
요 사람들 여 제각 여 올라오는디요	요 사람들 여기에 제각 여기에 올라오는데요
으으	으응
거기 제각 크기 조키 지낟찌요 대문익꼬	거기 제각 크게 좋게 지어 놓았지요대문 있고
나무대문 익꼬	나무 대문 있고
받슴니더	봤습니다
그거	예 그것
달쏘게	속에
고거	예 고것
구인데 요요이 요사람도 이 이씬데 딴 이씨라농께로 따로언자 제가글 또요래 지각꼬	그런데 요 요 이 요 사람도 이 이씨인데 딴 이씨라놓으니까는 따로 인제 제각을또 요렇게 지어 가지고
그러모 강씨는 어데 보니 어뎅고예 어느 강씽고예	그러면 강씨는 어디 본이 어딘가요 어느 강씨인가요
차말로 그렁거르 내한테로 무르메 우째알건네 너무강씨를	참말로 그런 것을 나한테로 물으면 어찌 알겠니 남의 강씨를
너무 강씨를	남의 강씨를
나는	나는
너무 강씨를	남의강씨를
이지미 이라각꼬	이 이렇게 해 가지고
아하	아하
아라심더	알았습니다
먼이씨 강씽고몰라 마 강가라고마 알지	무슨 이씨강씨인가 몰라 마 강가라고만 알지
머 우리 그시기 아잉께 내가 머 기다마 듣따안허고 벌로득꼬	뭐 우리 그슥이 아니니까 내가 뭐 귀담아 듣지도 안하고 흘려듣고
그러먼녜 할머니	그러면요 할머니
그런데 벌채가 데각꼬 내가	그런 데무감각해 가지고 내가
이마을 그지예	이 마을 그죠
그 하라부지 내나 강씨라 마리자모	그 할아버지 내나 강씨야 말하자면
그 머이고 제가게 갇찌요	그 뭐니 제각에 갔지요
아이 그 말고 저미테제 제가 만난 부는	아니 그 말고 저 밑에 제 제가 만난 분은
그 저쪼게	그 저 쪽에
그 하라버지가 아이고	그 할아버지가 아니고
그 하라씨 아이라요	그 할아버지 아니라요
그 하라씨가 아이고	그 할아버지가 아니고
구마 어디야 기시시꼬	아 그러면 어디에 가셨을까
저미테 저 저 머꼬 범짜수짜 하라부지 범수	저 밑에 저 저 뭐니 범자 수자 할아버지 범수
범수 조신	아 범수 조씨
그 사래미 저네 여거 사란는디요	그 사람이 전에 여기 살았는데요
저네 여엳 우예 여여 찌금 우예 그 그시기 지비라	전에 여 여기에 우에 여 여기에 지금 위에 그 그식이 집이야
그 머이고 구판장 찌금 저젇 점빵 점빵이라해야겓따 그만	그 뭐니 구판장 지금 저 저 가게 가게라 해야겠다 그냥
점빵 욷쩜빵예 여 올라오는디 그 토란시머노코 욷쩜빠아 그지비 거가 그사람지비거든뇨 범수 조신	가게 윗 가게에 여 올라오는 데 그 토란 심어 놓고 윗 가게에 그 집이 거기가 그 사람 집이거든요 범수 조씨
아네 드러가데예 안쪽	예 안에 들어가데요 안쪽
지빈디 그러께 그 지빈디	집인데 그러니까 그 집인데
부사느로 이새감서로 파라비서	부산으로 이사가면서 팔아 버렸어
