dialect	standard
그러면 인제 인자는 이 할머니 인제 자시네 데한 이야기예요 자시 자기에 데한이야기 자어디서 테어나셔따고요	그러면 이제 이제는 이 할머니 이제 자신에 대한 이야기예요 자신 자기에 대한 이야기 자 어디서 태어나셨다고요
저 진상면 청암니서 태어나저저 배천니	저 진상면 청암리에서 태어나 아저저 배천리
베천니서이 에	배천리에서 예
금니리 지그믄 금니리 저네는 배천니라고	금니리 지금은 금니리 전에는 배천리라고
응 지그믄 무슨 니	응 지금은 무슨 리
금니리	금니리
금니리	금니리
이천	이천
이천	이천
베천니니까 이천 그러머넌 인자 그 사 그 어릴 떼 함 번 이야기를 헤바 어어어릴 떼는 주로 가정형펴니라든지 먼 니를 허고 사션는지 함 번 고거 옌날 베천베처네서으 셍활을 함 번 헤 보 이야기를 헤 보십씨요	아 배천리니까 이천 그러면은이제 그 사 그 어릴 때 한번 이야기를 해 봐어 어릴 때는 주로 가정형편이라든지 무슨일을 하고 사셨는지 한번 그거 옛날 배천  배천에서의 생활을 한번 해 보 이야기를해 보십시요
저네 긍깨 발랑구니 마나가꼬 우리 클 쩌게는	전에 그러니까 반란군이 많아가지고 우리 클 적에는
발랑구니	반란군이
그러면	그러면
유기오 떼	육이오 때
유기오 떼	육이오 때
유기요 아네	육이호 안에
유기요 너머 가꼬 인자 유기요예 나 포돕씨 유기요 되든 뗃 인자 그 년 보메 인자 이팍해 써요	육이오 넘어가지고 이제 육이오에나 겨우포돕씨는 겨우의 방언형
인자 이파글 핸는디 긍깨 사뭘 따레 이팍 허고 사월 오월 유월따레 유기요가나가꼬 고마 하꾜를 몬 가써요 그래가 하꾜를 몬 강 거이 마 그를 모 빼우고	이제 입학을 했는데 그러니까 삼월에 입학하고 사월 오월 유월에 육이오가 나가지고 그만 학교를 못갔어요 그래가지고 학교를 못 간 것이 글을 못 배우고
유기요가 나가꼬 부모드른 점부 저 서메 서미라고 저그 태인도 지그믄 태인도	육이오가 나가지고 부모들은 전부 저 섬에 섬이라고 저기 지금은 태인도
태인도 거그 크넌니가 거그가 사는디 그그예 식꾸대로 다 가 부리고	태인도거기 큰언니가 거기에 사는데 거기에 모든 식구가다 가 버리고
우리 할무니허고 하 인자 그 아네 우리 하라부지가 세상 베리고 울 할무니가 이써서 우럼 어무니 아부지는 몽 까고 이씀성 인자 다 가는디 날 가이내라고 여자라고 난주거도 된다여	우리 할머니하고 하 이제 그 안에 우리 할아버지가 세상 떠나고세상 버리다는 세상 떠나다의 뜻 우리 할머니가 있어서 우리 엄 어머니 아버지는 못 가고 있으면서 이제 다 가는데 날 계집애라고 여자라고 난 죽어도 된대
막띵이가 대농께 팔람메서 막띵인디 인자	막내가 돼  놓으니까 팔남매에서 막내인데 이제
점부 오빠드른 구니네고 재피 가부루고 오꼬 인자 우리 식꾸드리 인자 조 나믄사라믄 인자 우리 올케언니 우리 조카들 점분자 글쩨는 기믈 헝개 배가 이써요	전부 오빠들은 군인에 잡혀 가 버리고 없고 이제 우리 식구들이 이제 남은 사람은 이제 우리 올케언니 우리 조카들 전부 이제 김을 하니까 배가 있어요
배가 이꼬 그런디 인자 우리 헹부를 오라고 인자 해 가꼬 우르 헹헹부가 와서인자 싹 시꾸대로 막 양서그 싸고 머 미수까리 해서 싹 싸고 해가꼬 점부 실코 가고또 거그 살다가 또 양세기 모지래믄 인자 스 와 하나이나 와 가꼬 인자 또 양서글 가저가고 인자 그래	배가 있고 그런데 이제 우리 형부들 오라고 이제 해가지고 우리 형 형부가와서 이제 싹 모든 식구가 막 양식을 싸고 뭐 미숫가루 해서 싹싸고 해가지고 전부 싣고 가고 또 거기 살다가 또 양식이 모자라면 이제 하나나 와가지고이제 또 양식을 가져가고 이제 그래
우리는 인자 울 할무니남짜그로 어무니허고 우리 아부지허고는 인자 나허고 그리인자 이꼬 그 동네에 인자 또 노인드른 멛 썩 이꼬 절믄 사람드른 인자 싹 가 부리고	우리는 이제 우리 할머니 비롯해서 어머니하고 우리 아버지하고는 이제 나하고 그리 이제 있고 그 동네에 이제 또 노인들은 몇씩 있고 젊은 사람들은이제 싹 가 버리고
그양 비행기가 그양 머 제트깅가 머 저네는 그거이 우엥 허고 오믄 그냥 또스 스 막 암디라도 업찌서 숭꼬 난중에는 수므먼 더 싼다고 그래가꼬는 그냥 비행기가 오먼 무장 마당으로 나서써요	그냥 비행기가 그냥 뭐 제트기인지 뭐  전에는 그것이우엥 하고 오면 그냥 또 스 스 막 아무 곳이라도 엎드려서업지다는 엎드리다의 방언형숨고 나중에는 숨으면 더 쏜다고싸다는 쏘다의 방언형 그래가지고는 그냥 비행기가 오면 점점무장은 점점의 방언형 마당으로 나섰어요
그래서 저그 또 손 인자 인자 나문 사람드른 인자 막 비행기가 저 강에 저런 디막 저 한지레 저런디 막 포껴글 허고 그러머 또 사느로 싹 쩨께 올라가가꼬 솔나무 미테가 점부 저래가꼬 저 집껀석 저 집때로 도르레하이 이꼬 우리 건석 우리대로 도리하 이꼬 솔 큰 솔라무 미테가 그래가꼬 이따가 난장에는 인자 수무먼 더 싼다가꼬 점부 비행기만 오믄 또 나안자서 늘비허이 나안자꼬	그래서 저기 또 손 이제 이제 남은 사람들은 이제 막 비행기가 저 강에 저런 곳 막 저 한길에 저런 곳 막 폭격을하고 그러면 또 산으로 싹 쫓겨 올라가가지고 소나무솔나무는 소나무의 방언형 밑에  전부 저래가지고 저 집식구권속은 식구의 뜻 저 집대로 둥글게 도르레하다는 둥글게모여 있는 모양을 나타낸다있고 우리 식구 우리대로 둥글게 있고 솔 큰 소나무 밑에 그래가지고 있다가 나중에는 이제 숨으면 더 쏜다 해가지고 전부 비행기만 오면 또 나앉아서늘비하게 나앉았고
그러자 인자 발랑구니 생게 가꼬 인잗 점붇 인제 남자드른 숭꼬 남자드릳 발랑구니 내레오문 지믈 지고 가요	그러자 이제 반란군이 생겨가지고 이제 전부 이제 남자들은 숨고 남자들이 반란군이 내려오면 짐을 지고 가요
동네 꺼 점부 막 오시고 양서기고 싹 추리가꼬 주구 시니고 다 추리가꼬 거서허먼 인자 글때 인자 고무신 파뜩파뜯 나오고 그랜는디 고무신 한 커리 인 인나 인는 그렁거는 막 구더글 파 노코 거따가 싱키 노코 인자 지퍼 가꼬 인잗 집쎄기 소리 그렁 걸 사마가꼬 인자 늘비허니 인자 머 오 방무나페다 나뚜고 그거또 성헝 거는 다 가 가부리요	동네 것 전부 막 옷이고 양식이고 싹 추려가지고 자기 신이고 다 추려가지고 뭐하면 이제그때 이제 고무신 이제 막 나오고 그랬는데 고무신 한 켤레나커리는 켤레의 방언형있는 그런 것은 막 구덩이를구덕은 구덩이의 방언형 파 놓고 거기에다가 숨겨싱키다는 숨기다의 방언형 놓고 이제 짚을 가지고 이제 짚신집쎄기는 짚신의 방언형 소리소리는 상제가 초상 때부터 졸곡 때까지 신는 짚신 총을 드문드문 따고 흰 종이로 총 돌기를 감았다엄짚신이라고도한다 그런 것을 삼아가지고 이제 늘비하게 이제 뭐 오 방문앞에다 놔 두고 그것도 성한것은 다 가져가 버려요
거그 어디로어디에 발랑군 어디에서 사라요	거기 어디로어디에 반란군 어디에서 살아요
사네서 내러 와요 저녀기믄 지를 차자서	산에서 내려와요 저녁이면 길을 찾아서
내러오믄 인자 영감드리나 하나이나 인자 앵기문 인자 그 사라믄 거그 짐 실코저그 배운산 미테꺼지 저녕내 올라가 가따 줘야데요	내려오면 이제 영감들이나 하나나이제 잡히면 이제 그 사람은 거기 짐 싣고 저기 백운산 밑까지 저녁내 올라가서 가져다 줘야 돼요
가따 주고 내레오다가 혹씨 잘모뗀 사람드른 또 먿 그냥 해나 머 숭경이나 머이나 되능가이야 싸 뿌리가꼬 중는 사라믄 주꼬 글떼는 기양 목쑤믈 바치노코 사라찌요	가  져다 주고 내려오다가 혹시 잘못된 사람들은 또 뭐 그냥 행여나  뭐 순경이나 뭐나 되나 싶어가이는 관데의 방언형여기서는 보조형용사 싶다의뜻 쏴 버려가지고 죽는 사람은 죽고 그때는글때는 그때의 방언형 그냥 목숨을 바쳐놓고 살았지요
그러면	그러면
그래가꼬 인자 우리 아부지가 함 번 엥게가꼬 인자 지믈 지고 간는디 인자그러자 인자 울 하라부지 세상 베능 거이 그 때는 삼년상을 안 추린능가요	그래가지고 이제 우리 아버지가 한번 잡혀가지고 이제  짐을 지고 갔는데 이제 그러자 이제 우리할아버지 세상 떠난 것이 그때는 삼년상을 치렀잖아요
삼년상을 추리서 인자 울 하라부지 제사 모시고 인자 상복 그거를 아래빵에다 쌍나뚜고 인자 우리 어머니는 인자	삼년상을 치러서 이제 우리 할아버지 제사 모시고 이제상복 그것을 아랫방에다 싹 놔 두고 이제 우리 어머니는 이제
당신들 짐 지고 가다가 우리 영감 주거 뿌리가꼬 초상 치고 여 상보기 요래가 이씅깨 요거 보라고 우는 요로고도 산다고 그름 쪼깜 덜 해요	당신들 짐 지고 가다가 우리영감 죽어 버려가지고 초상 치르고 이 상복이 이래가지고 있으니까 이것 보라고 우리는 이러고도 산다고 그러면 조금 덜 해요
주구 따라가다 인제 죽어때노니 그러하고르아부지 하라부지는 나페 세상 비리고 할무니 세상 베리고 그랜능갑따 구래	저희들 따라가다 이제 죽었다고 해 놓으니 그리고 아버지 할아버지는 앞에 세상 떠나고 할머니 세상 떠나고 그랬나 보다 그래
그러 그걸 나뚜고 내창 그러고 쩌이 그냥 또 안 갈랑깨로 인자 양서글 멀리 인잗 딱 저그 어디다 싱키 뿌리고	그래 그것을 놔 두고 계속 그리하고 저 그냥 또 안 가려니까 이제 양식을 멀리 이제 딱 저기 어디에다 숨겨 버리고
