dialect	pos	standard
아레	명사	아흐레
춘설	명사	추녀
가락	명사	자루
가래이	명사	가랑이
가마이	부사	가만히
가스나이	명사	계집아이
가심	명사	가슴
가우	명사	가위
갈르다	동사	가르다
갈버리	명사	가을보리
갑재기	부사	갑자기
갓난애기	명사	갓난아기
갓모	명사	갈모
강내이	명사	강냉이
개나리꼿	명사	백합
개롬하다	형용사	갸름하다
거시	명사	거위
거시름돈	명사	거스름돈
거이	부사	거의
겹방	명사	곁방
고고마	명사	고구마
고기잽이	명사	고기잡이
고돌개	명사	고들빼기
고동	명사	고둥
고두룸	명사	고드름
고두름	명사	고드름
고둘개	명사	고들빼기
고망	명사	구멍
고빠이	명사	고삐
고야이	명사	고양이
고양	명사	고향
고염	명사	고욤
고운소금	명사	곤소금
고은소금	명사	곤소금
고종사춘	명사	고종사촌
고지빼기	명사	고들빼기
곤댓질	명사	곤댓짓
곤두박히다	동사	곤두박이다
곤치다	동사	고치다
골댓짓	명사	곤댓짓
골째기	명사	골짜기
과택	명사	과댁
괘이	명사	괭이
괭기	명사	괭이
괴짝	명사	궤짝
구둘	명사	구들
구렛나루	명사	구레나룻
구룸	명사	구름
구명	명사	구멍
구묵	명사	구멍
구술	명사	구슬
구실	명사	구슬
구퉁이	명사	귀퉁이
군녁	명사	구멍
굼베이	명사	굼벵이
굼빙이	명사	굼벵이
궁데이	명사	궁둥이
귀경	명사	구경
귀구넝	명사	귓구멍
귀앵이	명사	고양이
귓구녕	명사	귓구멍
그그저께	명사	그끄저께
그그저께	부사	그끄저께
기	명사	귀
기레기	명사	기러기
기야	명사	기와
기프다	형용사	깊다
깃구넝	명사	귓구멍
깍디기	명사	깍두기
깜뷔기	명사	깜부기
깨구리	명사	개구리
꺼품	명사	거품
꼬라지	명사	꼬락서니
꼬추	명사	고추
꼭꾕이	명사	곡괭이
꽅	명사	꽃
꽹가리	명사	꽹과리
꽹이	명사	괭이
꾀다	동사	꿰다
꾸게지다	동사	구겨지다
나새이	명사	냉이
날버러지	명사	날벌레
날벌거지	명사	날벌레
낭구	명사	나무
낭그	명사	나무
내이	명사	냉이
냄기다	동사	남기다
냄편	명사	남편
뇍이다	동사	녹이다
누기	대명사	누구
뉘비이불	명사	누비이불
뉘예	명사	누에
뉩히다	동사	눕히다
다갱이	명사	대가리
다래	명사	다래끼
다리다	동사	당기다
다서	수사	다섯
닥알	명사	달걀
담붓대	명사	담뱃대
당개다	동사	당기다
당갬기	명사	당감이
대골패기	명사	대갈빼기
대래끼	명사	다래끼
데다	동사	되다
덴님	명사	대님
도독	명사	도둑
돌밍이	명사	돌멩이
됭이다	동사	동이다
두께비	명사	두꺼비
두두레기	명사	두드러기
두드레기	명사	두드러기
두디레기	명사	두드러기
두루매기	명사	두루마기
따루다	동사	따르다
뚜께	명사	뚜껑
막냉이	명사	막내
말새끼	명사	망아지
매웁다	형용사	맵다
맥히다	동사	막히다
맨드래미	명사	맨드라미
맹글다	동사	만들다
머시매	명사	사내아이
머심	명사	머슴
메느리	명사	며느리
메르치	명사	멸치
메물	명사	메밀
메서숙	명사	메조
메수꾸	명사	낟알에 찰기가 없는 수
메수수	명사	낟알에 찰기가 없는 수
멕이다	동사	먹이다
멜치	명사	멸치
며누리	명사	며느리
