dialect	standard
고장주우 밑이 딱 타개져가 앉어서 가래이만 벌리만 앞이 다 뵈더라꼬요	고쟁이 밑이 떡 갈라져서 앉아서 가랑이만 벌리면 앞이 다 보이더라고요
가마이 쫌 있어 바라	가만히 좀 있어 봐라
나가 가마이 보이끼네 기가 멕히는 기라	내가 가만히 보니까 기가 막히는 거야
아파가 빙원 침대에 눕어 있는 거 보이 가심이 아푸더라	아파서 병원 침대에 누워 있는 것을 보니 가슴이 아프더라
비가 마이 와서 올해 갈버리 농사는 다 망쳤유	비가 많이 와서 올해 가을보리 농사는 다 망쳤어요
질을 가는디 갑재기 천둥이 치구 소나기가 오는데 대단햐	길을 가는데 갑자기 천둥이 치고 소나기가 오는데 대단해
엣날에는 빙원 갈지도 몰르고 혀서 갓난애기가 감기만 걸려도 많이 죽어 불었제	옛날에는 병원 갈 줄도 모르고 해서 갓난아기가 감기만 걸려도 많이 죽어 버렸지
겹방에는 할매 한 분이 살고 계셔유	곁방에는 할머니 한 분이 살고 계세요
감자는 여름에 먹구 고고마는 갉에 먹어유	감자는 여름에 먹고 고구마는 가을에 먹어요
동네 아들이 모이가 지끔 고기잽이가 한창입디더	동네 아이들이 모여서 지금 고기잡이가 한창입디다
저울에는 지벙 추마에 고두룸이 달리잖에유	겨울에는 지붕 처마에 고드름이 달리잖아요
고염은 고양 무마 떫응께로 삭하 무야 대여	고욤은 그냥 먹으면 떫으니까 삭혀 먹어야 돼
구실 한 개에 얼맙니꺼	구슬 한 개에 얼맙니까
굼베이같이 눕어만 이실래	굼벵이같이 누워만 있을래
올봄엔 동네 노인덜이 차럴 대절해서 남해안으루 귀경 간디여	올봄에는 동네 노인들이 차를 대절해서 남해안으로 구경 간대
몸이 좋다구 깨구리 알두 먹더라구	몸에 좋다고 개구리 알도 먹더라고
올개 꼬추 농사는 잘댔니껴	올해 고추 농사는 잘됐습니까
나무들이 꽅을 안 피운 거 보이까네 날이 아직 많이 찬 갑다	나무들이 꽃을 안 피운 거 보니까 날이 아직 많이 찬가 보다
오늘 지녁에는 닥알을 쌂아 묵자	오늘 저녁에는 달걀을 삶아 먹자
우리 할배는 썽이 나모 담붓대로 방바닥을 탕탕 칩니더	우리 할아버지는 성이 나면 담뱃대로 방바닥을 탕탕 칩니다
우예다가 눈에 대래끼라도 나마 불핀하기도 하고 억수로 개럽지예	어쩌다가 눈에 다래끼라도 나면 불편하기도 하고 매우 가렵지요
항아리 안에 머가 들었는지 뚜께를 한번 열어 바라	항아리 안에 뭐가 들었는지 뚜껑을 한번 열어 봐라
메수꾸는 찰기가 읎어	메수꾸는 찰기가 없어
메수수는 그냥 닭 모시루 주드라구	메수수는 그냥 닭 모이로 주더라고
구름 모냥 보니께 비가 올 판인 것 같지유	구름 모양 보니까 비가 올 판인 것 같지요
몬지가 바람에 날아갔다	먼지가 바람에 날아갔다
이거 머 쓰는 법이야 먼처 소가 이걸 민다구 그러구는 밀고 대니는 거지 머	이거 뭐 쓰는 법이야 먼저 소가 이걸 멘다고 그러고는 밀고 다니는 거지 뭐
그 집 아는 뭘 먹으믄 볼따구가 터지도룩 먹는 먹보여	그 집 아이는 뭘 먹으면 볼따구니가 터지도록 먹는 먹보야
아가 새금파리를 밟아서 발을 다칬다	아이가 사금파리를 밟아서 발을 다쳤다
이거 선상님한테 갖다드리라	이거 선생님한테 갖다드려라
선상님이라고 허든디 중핵교에 계신게라우	선생님이라고 하던데 중학교에 계시나요
난로에 섹유가 다 떨어짔네	난로에 석유가 다 떨어졌네
흙을 고를라 카모 소스랑이 있어야 안 되나	흙을 고르려 하면 쇠스랑이 있어야 안 되니
